name,schema,description
A_LVR_LAND_A.CSV,schema-main.csv,臺北市不動產買賣
A_LVR_LAND_A_BUILD.CSV,schema-build.csv,臺北市建物不動產買賣
A_LVR_LAND_A_LAND.CSV,schema-land.csv,臺北市土地不動產買賣
A_LVR_LAND_A_PARK.CSV,schema-park.csv,臺北市停車場不動產買賣
A_LVR_LAND_B.CSV,schema-main.csv,臺北市預售屋買賣
A_LVR_LAND_B_LAND.CSV,schema-land.csv,臺北市土地預售屋買賣
A_LVR_LAND_B_PARK.CSV,schema-park.csv,臺北市停車場預售屋買賣
A_LVR_LAND_C.CSV,schema-main-rent.csv,臺北市不動產租賃
A_LVR_LAND_C_BUILD.CSV,schema-build.csv,臺北市建物不動產租賃
A_LVR_LAND_C_LAND.CSV,schema-land.csv,臺北市土地不動產租賃
A_LVR_LAND_C_PARK.CSV,schema-park.csv,臺北市停車場不動產租賃
B_LVR_LAND_A.CSV,schema-main.csv,臺中市不動產買賣
B_LVR_LAND_A_BUILD.CSV,schema-build.csv,臺中市建物不動產買賣
B_LVR_LAND_A_LAND.CSV,schema-land.csv,臺中市土地不動產買賣
B_LVR_LAND_A_PARK.CSV,schema-park.csv,臺中市停車場不動產買賣
B_LVR_LAND_B.CSV,schema-main.csv,臺中市預售屋買賣
B_LVR_LAND_C.CSV,schema-main-rent.csv,臺中市不動產租賃
B_LVR_LAND_C_BUILD.CSV,schema-build.csv,臺中市建物不動產租賃
B_LVR_LAND_C_LAND.CSV,schema-land.csv,臺中市土地不動產租賃
B_LVR_LAND_C_PARK.CSV,schema-park.csv,臺中市停車場不動產租賃
C_LVR_LAND_A.CSV,schema-main.csv,基隆市不動產買賣
C_LVR_LAND_A_BUILD.CSV,schema-build.csv,基隆市建物不動產買賣
C_LVR_LAND_A_LAND.CSV,schema-land.csv,基隆市土地不動產買賣
C_LVR_LAND_A_PARK.CSV,schema-park.csv,基隆市停車場不動產買賣
C_LVR_LAND_B.CSV,schema-main.csv,基隆市預售屋買賣
C_LVR_LAND_C.CSV,schema-main-rent.csv,基隆市不動產租賃
C_LVR_LAND_C_BUILD.CSV,schema-build.csv,基隆市建物不動產租賃
C_LVR_LAND_C_LAND.CSV,schema-land.csv,基隆市土地不動產租賃
D_LVR_LAND_A.CSV,schema-main.csv,臺南市不動產買賣
D_LVR_LAND_A_BUILD.CSV,schema-build.csv,臺南市建物不動產買賣
D_LVR_LAND_A_LAND.CSV,schema-land.csv,臺南市土地不動產買賣
D_LVR_LAND_A_PARK.CSV,schema-park.csv,臺南市停車場不動產買賣
D_LVR_LAND_B.CSV,schema-main.csv,臺南市預售屋買賣
D_LVR_LAND_C.CSV,schema-main-rent.csv,臺南市不動產租賃
D_LVR_LAND_C_BUILD.CSV,schema-build.csv,臺南市建物不動產租賃
D_LVR_LAND_C_LAND.CSV,schema-land.csv,臺南市土地不動產租賃
D_LVR_LAND_C_PARK.CSV,schema-park.csv,臺南市停車場不動產租賃
E_LVR_LAND_A.CSV,schema-main.csv,高雄市不動產買賣
E_LVR_LAND_A_BUILD.CSV,schema-build.csv,高雄市建物不動產買賣
E_LVR_LAND_A_LAND.CSV,schema-land.csv,高雄市土地不動產買賣
E_LVR_LAND_A_PARK.CSV,schema-park.csv,高雄市停車場不動產買賣
E_LVR_LAND_B.CSV,schema-main.csv,高雄市預售屋買賣
E_LVR_LAND_B_LAND.CSV,schema-land.csv,高雄市土地預售屋買賣
E_LVR_LAND_B_PARK.CSV,schema-park.csv,高雄市停車場預售屋買賣
E_LVR_LAND_C.CSV,schema-main-rent.csv,高雄市不動產租賃
E_LVR_LAND_C_BUILD.CSV,schema-build.csv,高雄市建物不動產租賃
E_LVR_LAND_C_LAND.CSV,schema-land.csv,高雄市土地不動產租賃
E_LVR_LAND_C_PARK.CSV,schema-park.csv,高雄市停車場不動產租賃
F_LVR_LAND_A.CSV,schema-main.csv,新北市不動產買賣
F_LVR_LAND_A_BUILD.CSV,schema-build.csv,新北市建物不動產買賣
F_LVR_LAND_A_LAND.CSV,schema-land.csv,新北市土地不動產買賣
F_LVR_LAND_A_PARK.CSV,schema-park.csv,新北市停車場不動產買賣
F_LVR_LAND_B.CSV,schema-main.csv,新北市預售屋買賣
F_LVR_LAND_B_LAND.CSV,schema-land.csv,新北市土地預售屋買賣
F_LVR_LAND_B_PARK.CSV,schema-park.csv,新北市停車場預售屋買賣
F_LVR_LAND_C.CSV,schema-main-rent.csv,新北市不動產租賃
F_LVR_LAND_C_BUILD.CSV,schema-build.csv,新北市建物不動產租賃
F_LVR_LAND_C_LAND.CSV,schema-land.csv,新北市土地不動產租賃
F_LVR_LAND_C_PARK.CSV,schema-park.csv,新北市停車場不動產租賃
G_LVR_LAND_A.CSV,schema-main.csv,宜蘭縣不動產買賣
G_LVR_LAND_A_BUILD.CSV,schema-build.csv,宜蘭縣建物不動產買賣
G_LVR_LAND_A_LAND.CSV,schema-land.csv,宜蘭縣土地不動產買賣
G_LVR_LAND_A_PARK.CSV,schema-park.csv,宜蘭縣停車場不動產買賣
G_LVR_LAND_B.CSV,schema-main.csv,宜蘭縣預售屋買賣
G_LVR_LAND_B_LAND.CSV,schema-land.csv,宜蘭縣土地預售屋買賣
